Location,County/Zone,St.,Date,Time,T.Z.,Type,Mag,Dth,Inj,PrD,CrD
Totals:, , , , , , , ,0,0,7.00K,0.00K
NEEDMORE,HARDY CO.,WV,04/16/2011,13:06,EST-5,Thunderstorm Wind,52 kts. EG,0,0,1.00K,0.00K
TOMAHAWK,BERKELEY CO.,WV,04/16/2011,14:11,EST-5,Thunderstorm Wind,52 kts. EG,0,0,1.00K,0.00K
ROUGH RUN,GRANT CO.,WV,04/16/2011,14:42,EST-5,Thunderstorm Wind,52 kts. EG,0,0,0.00K,0.00K
ROUGH RUN,GRANT CO.,WV,04/16/2011,14:42,EST-5,Hail,1.50 in.,0,0,0.00K,0.00K
ROUGH RUN,GRANT CO.,WV,04/16/2011,14:43,EST-5,Hail,1.50 in.,0,0,0.00K,0.00K
ROUGH RUN,GRANT CO.,WV,04/16/2011,14:43,EST-5,Thunderstorm Wind,61 kts. EG,0,0,1.00K,0.00K
HISER,GRANT CO.,WV,04/16/2011,14:44,EST-5,Hail,1.00 in.,0,0,0.00K,0.00K
DORCAS,GRANT CO.,WV,04/16/2011,14:45,EST-5,Thunderstorm Wind,61 kts. EG,0,0,1.00K,0.00K
HISER,GRANT CO.,WV,04/16/2011,14:45,EST-5,Thunderstorm Wind,61 kts. EG,0,0,1.00K,0.00K
FRANKLIN,PENDLETON CO.,WV,04/16/2011,14:55,EST-5,Hail,1.00 in.,0,0,0.00K,0.00K
FRANKLIN,PENDLETON CO.,WV,04/16/2011,14:56,EST-5,Hail,1.00 in.,0,0,0.00K,0.00K
FRANKLIN,PENDLETON CO.,WV,04/16/2011,14:57,EST-5,Hail,1.25 in.,0,0,0.00K,0.00K
FRANKLIN,PENDLETON CO.,WV,04/16/2011,14:58,EST-5,Hail,1.00 in.,0,0,0.00K,0.00K
RUDDLE,PENDLETON CO.,WV,04/16/2011,15:00,EST-5,Thunderstorm Wind,52 kts. EG,0,0,1.00K,0.00K
SLANESVILLE,HAMPSHIRE CO.,WV,04/16/2011,15:26,EST-5,Thunderstorm Wind,52 kts. EG,0,0,1.00K,0.00K
SUGAR GROVE,PENDLETON CO.,WV,04/16/2011,15:40,EST-5,Hail,1.50 in.,0,0,0.00K,0.00K
Totals:, , , , , , , ,0,0,7.00K,0.00K
