MPG,TOV,3PA,#,PPG,3PM,FT%,FGM
25.0,2.5,2.8,7,15.3,0.8,0.794,5.0
27.0,1.7,2.0,99,5.7,0.3,0.452,1.9
15.8,0.6,4.5,91,6.0,1.5,0.8,2.0
24.8,1.4,1.1,66,7.6,0.5,0.676,2.0
27.7,2.1,0.0,29,11.7,0.0,0.711,4.3
23.0,2.8,2.7,57,8.0,0.8,0.75,2.8
21.1,1.1,3.2,59,8.0,1.1,0.769,2.9
24.9,1.2,4.2,51,8.3,1.7,0.667,2.9
29.7,0.8,3.8,41,9.6,1.3,0.818,3.1
22.2,2.2,3.1,46,9.0,1.0,0.917,2.8
31.2,3.6,1.3,26,11.9,0.2,0.581,4.4
33.4,2.0,4.0,5,16.9,1.0,0.658,6.6
27.3,1.4,3.9,32,10.7,0.9,0.545,4.2
21.7,2.1,0.3,54,8.0,0.0,0.9,3.0
28.8,1.8,0.1,19,13.0,0.0,0.622,5.2
26.6,1.4,2.4,79,6.4,0.8,0.65,2.0
22.2,2.3,3.9,28,11.7,1.6,0.806,3.7
16.5,0.9,1.4,72,6.9,0.2,0.714,2.4
17.7,1.0,3.4,90,6.0,0.9,0.857,2.2
21.8,0.6,4.0,33,10.6,2.0,0.556,3.8
32.4,2.9,1.7,8,15.0,0.7,0.82,4.9
20.8,1.0,0.0,45,9.2,0.0,0.652,3.3
32.0,2.9,2.2,4,17.2,0.9,0.596,6.1
27.4,2.8,1.6,11,14.0,0.6,0.659,5.1
32.1,2.4,0.3,13,13.9,0.0,0.596,5.2
22.0,1.3,1.3,73,6.7,0.9,0.526,2.3
22.5,1.6,3.2,70,7.1,1.2,0.429,2.8
21.7,2.1,3.2,30,10.9,0.4,0.741,4.1
25.8,2.7,2.9,43,9.3,0.7,0.737,3.6
17.0,1.7,4.7,78,6.4,1.7,0.5,2.3
15.9,1.4,3.8,94,5.9,1.1,1.0,1.6
25.6,1.0,3.0,97,5.8,0.4,0.375,2.5
16.7,0.7,2.3,71,7.0,1.7,0.0,2.7
36.8,3.6,5.1,6,15.8,1.2,0.778,5.3
