2B,R,POS,Team,SO,SB,BB,RBI,G
0,1,RF,LOW,1,0,1,0,1
1,7,3B,JAM,19,1,2,9,23
0,2,C,BRK,5,0,2,3,7
0,0,OF,LOW,3,0,0,0,1
2,8,C,SI,8,0,0,3,15
1,9,OF,ABD,16,3,2,5,19
1,2,OF,BAT,12,0,2,8,14
5,11,C,JAM,14,0,7,12,28
11,14,3B,WIL,50,0,24,19,68
6,18,SS,ABD,9,6,13,15,23
1,12,SS,VER,20,1,18,7,32
0,1,3B,SI,2,0,1,1,2
11,23,1B,LOW,73,0,29,31,58
23,43,C,MV,56,3,54,43,69
4,10,SS,JAM,11,1,5,9,35
8,10,OF,SC,40,4,8,11,37
7,15,C,HV,44,0,12,22,39
0,4,DH,LOW,5,1,3,2,4
19,20,OF,SI,50,7,24,30,55
0,8,2B,JAM,10,4,2,3,14
0,0,2B,CT,3,0,0,0,3
9,16,1B,JAM,54,0,7,18,41
4,22,SS,VER,27,8,12,22,37
1,6,OF,WIL,11,0,3,3,18
2,3,OF,JAM,8,0,0,2,10
8,34,OF,VER,39,17,42,19,63
1,1,RF,BAT,5,0,0,0,7
2,7,2B,AUB,7,2,2,4,6
1,5,2B,AUB,17,5,3,5,15
1,0,SS,LOW,2,0,0,2,1
4,22,OF,SI,41,11,18,23,46
13,24,OF,BRK,64,0,22,44,56
3,5,1B,BRK,20,0,11,5,17
11,15,3B,SC,31,2,21,22,60
0,0,C,MV,5,0,1,1,6
2,23,OF,HV,34,17,15,19,50
0,6,OF,LOW,14,6,3,4,21
1,1,SS,BRK,0,0,0,0,1
0,2,OF,HV,1,0,2,1,3
22,32,RF,BRK,62,5,34,43,67
17,40,2B,AUB,67,4,14,47,63
4,9,C,CT,10,1,8,12,35
8,20,2B,BAT,28,5,16,14,34
0,2,CF,LOW,1,0,1,2,2
3,21,OF,AUB,22,13,12,18,32
9,30,2B,ABD,40,14,30,30,74
0,0,P,HV,0,0,0,0,1
10,50,SS,MV,49,19,30,20,69
10,28,OF,CT,17,6,10,31,42
8,23,SS,BAT,30,4,12,13,42
1,2,OF,SC,0,0,1,1,2
20,36,3B,TRI,41,2,15,37,63
9,20,OF,WIL,20,5,7,9,32
4,23,1B,BRK,35,1,17,20,43
10,16,3B,SI,23,7,10,14,27
7,8,OF,VER,47,3,10,12,43
1,11,C,BAT,20,5,8,9,32
12,33,OF,AUB,36,11,11,29,67
11,25,C,BAT,30,3,10,17,44
7,16,DH,AUB,24,2,15,15,32
2,14,OF,WIL,15,3,18,14,50
16,20,1B,AUB,31,1,21,30,51
23,43,3B,AUB,52,2,42,48,72
9,18,OF,BAT,10,3,22,8,25
0,1,C,SI,0,0,0,0,1
5,20,C,SC,15,3,14,15,40
0,4,C,BRK,16,0,2,4,22
14,40,SS,SI,57,10,30,33,69
0,0,OF,VER,3,2,1,1,4
2,7,C,CT,5,0,6,2,10
5,7,OF,SC,11,0,8,5,17
2,5,OF,CT,16,0,5,6,25
2,4,3B,WIL,2,0,3,4,5
5,30,2B,TRI,37,21,41,17,57
8,20,SS,MV,24,12,12,12,42
9,16,C,VER,24,5,12,33,41
10,24,OF,BAT,53,9,21,24,54
14,20,2B,HV,39,4,16,16,55
7,31,3B,BRK,45,2,23,30,62
9,23,SS,SC,47,8,17,18,59
0,1,C,WIL,8,0,6,3,8
8,19,OF,MV,24,5,19,24,47
4,15,OF,JAM,19,4,10,12,30
0,1,C,CT,2,0,1,0,3
0,0,DH,WIL,1,0,0,0,1
0,1,C,VER,4,0,0,1,5
1,19,LF,JAM,21,7,7,9,34
2,8,2B,HV,5,2,7,3,17
3,11,C,AUB,20,1,7,10,29
1,0,3B,WIL,3,0,1,2,4
10,17,DH,TRI,21,1,9,18,31
3,19,OF,ABD,47,8,20,19,63
0,0,C,AUB,1,0,0,1,2
5,20,C,AUB,34,2,17,22,30
4,14,1B,CT,23,1,10,15,27
14,31,OF,LOW,56,15,10,24,71
0,2,OF,BRK,11,1,1,3,9
13,15,LF,HV,62,15,16,20,62
0,1,SS,BRK,0,0,0,0,2
6,14,2B,LOW,48,1,10,9,52
0,2,OF,WIL,10,2,2,2,13
5,8,C,ABD,35,0,8,6,25
9,23,2B,SI,28,1,19,27,48
5,9,SS,BAT,2,0,4,2,12
2,8,SS,SC,10,4,3,5,19
2,2,SS,ABD,5,0,0,1,4
12,41,CF,WIL,52,25,13,31,71
6,21,CF,LOW,17,15,16,8,32
8,18,OF,HV,36,4,20,10,53
8,40,OF,MV,67,6,22,31,65
3,14,1B,JAM,24,1,18,14,34
13,19,1B,MV,40,0,19,27,60
1,8,OF,CT,11,3,8,1,15
5,10,2B,CT,23,3,19,6,39
14,43,1B,BAT,77,2,36,31,69
1,2,2B,VER,5,1,1,1,11
3,16,OF,TRI,18,4,18,6,19
8,45,OF,HV,80,16,25,21,72
0,5,2B,BRK,3,2,2,2,10
1,4,OF,ABD,7,2,4,6,8
11,20,DH,CT,60,5,8,25,52
15,39,1B,SI,40,0,20,31,65
2,5,SS,TRI,8,4,7,5,18
5,20,SS,HV,47,11,12,17,63
8,12,3B,HV,29,1,4,5,35
9,35,OF,TRI,42,12,22,18,60
11,34,C,TRI,44,6,23,20,59
9,25,C,WIL,25,0,16,23,44
1,2,C,LOW,5,0,4,2,10
6,8,C,TRI,11,2,4,17,32
5,6,SS,JAM,16,3,2,10,24
9,13,C,SC,35,1,20,10,44
15,17,C,SC,38,3,13,24,48
5,10,1B,WIL,18,0,5,10,22
2,3,SS,LOW,1,0,3,3,11
0,6,SS,HV,18,3,6,3,15
6,11,C,HV,20,0,8,18,24
7,16,3B,CT,25,1,14,7,43
4,12,OF,LOW,21,0,10,13,25
0,0,1B,TRI,2,0,0,0,1
2,6,SS,BRK,7,0,2,5,15
4,25,OF,WIL,34,6,14,21,47
1,8,OF,BRK,12,4,6,3,13
0,1,2B,SC,2,0,1,0,3
1,4,3B,LOW,1,1,2,6,4
0,1,OF,MV,2,0,2,6,4
2,6,C,LOW,10,0,3,9,22
14,26,OF,BRK,55,1,19,26,58
3,16,3B,LOW,25,2,8,5,25
13,38,3B,WIL,61,3,37,31,67
10,26,LF,LOW,106,0,17,29,57
6,12,C,LOW,20,2,9,18,34
1,11,OF,JAM,16,3,10,5,23
1,4,3B,LOW,3,0,3,3,9
10,18,SS,ABD,47,2,49,16,71
15,43,SS,AUB,34,23,29,21,56
4,22,OF,SI,28,6,11,17,44
9,39,SS,VER,53,27,37,21,69
12,26,1B,ABD,62,1,26,35,57
0,1,SS,CT,6,0,2,0,5
9,37,OF,CT,28,14,41,15,69
6,17,RF,ABD,37,3,7,14,51
8,29,1B,CT,34,11,25,25,58
5,24,OF,VER,32,13,20,12,47
2,13,OF,SC,30,7,11,6,27
11,38,OF,AUB,51,15,28,26,64
