AVG,3B,GIDP,SH,POS,OPS,CS
.231,2,3,1,LF,0.718,0
.299,6,4,6,CF,0.896,14
.218,3,4,0,CF,0.661,3
.210,0,4,8,C,0.54,2
.324,6,10,1,RF,0.957,10
.289,0,4,0,RF,0.746,0
.136,0,0,0,3B,0.356,0
.296,0,6,0,C,0.92,0
.322,1,1,1,SS,1.005,0
.247,0,5,4,DH,0.665,4
.233,0,8,0,3B,0.644,0
.276,1,11,1,1B,0.788,1
.214,0,0,0,LF,0.456,0
.255,0,2,0,RF,0.627,0
.211,0,0,0,3B,0.611,0
--,0,0,0,P,0.0,0
.571,0,0,0,2B,1.769,0
.262,1,10,1,1B,0.741,3
.292,1,22,4,OF,0.782,10
.300,5,15,1,2B,0.791,5
.250,5,5,4,OF,0.672,8
.236,0,0,0,OF,0.861,1
.248,4,9,4,2B,0.667,4
.247,4,5,1,RF,0.725,3
.289,6,3,2,2B,0.789,4
.462,0,0,0,LF,1.15,0
.333,1,3,0,1B,0.917,0
.281,2,5,3,DH,0.689,0
.300,3,3,1,SS,0.845,1
.408,7,5,3,2B,1.057,9
.111,0,0,0,C,0.222,0
.336,13,6,6,CF,0.925,19
.259,2,6,0,3B,0.9,0
.208,1,8,1,3B,0.586,3
.474,1,0,1,C,1.629,0
.400,0,0,0,3B,1.1,0
.270,2,18,1,C,0.787,0
.366,2,3,1,1B,1.129,3
.241,0,0,0,3B,0.701,0
.330,3,11,1,1B,0.986,1
.143,0,0,0,SS,0.536,0
.000,0,1,1,OF,0.067,0
.250,0,0,0,C,0.5,0
.225,4,6,8,RF,0.658,5
.287,0,8,3,C,0.72,1
.268,1,2,1,RF,0.707,0
--,0,0,0,P,0.0,0
.200,0,0,0,SS,0.4,0
.000,0,0,0,C,0.0,0
.245,1,1,5,LF,0.646,1
.268,2,7,3,3B,0.811,2
.302,0,4,0,C,0.944,1
.255,0,3,3,2B,0.581,2
.111,0,1,0,3B,0.325,0
.250,0,0,0,2B,0.65,0
.275,9,1,9,CF,0.711,14
.298,0,2,1,SS,0.731,0
.143,0,0,0,SS,0.393,0
.167,0,0,1,3B,0.379,0
.336,3,1,6,CF,0.878,5
--,0,0,0,P,0.0,0
.235,4,11,8,CF,0.634,16
.200,1,2,0,OF,0.821,1
.329,1,2,0,3B,0.891,1
.239,0,2,0,2B,0.634,0
.318,0,0,0,C,0.787,0
.285,1,9,0,CF,0.918,5
.295,2,1,5,3B,0.794,0
.233,1,4,6,SS,0.641,3
.351,1,11,1,3B,0.996,3
.323,0,9,2,1B,1.083,0
.189,0,2,0,OF,0.597,1
.224,3,1,5,LF,0.596,7
.281,1,9,5,LF,0.748,10
.294,0,8,0,RF,0.898,2
.317,1,1,0,OF,0.884,1
.231,0,4,0,DH,0.662,1
.303,0,8,1,2B,0.809,2
.667,0,0,0,RF,1.5,0
.261,1,0,0,OF,0.711,0
.111,0,0,0,2B,0.444,1
.340,0,4,0,2B,0.891,7
.200,0,0,2,OF,0.554,0
.244,0,1,3,OF,0.593,4
.246,1,3,0,SS,0.647,2
.289,2,6,4,OF,0.735,4
.167,0,1,0,C,0.391,0
.375,0,0,0,LF,0.75,0
.210,2,0,1,CF,0.583,1
.220,1,3,0,OF,0.538,2
--,0,0,0,P,0.0,0
.229,2,0,2,2B,0.857,0
.278,3,4,0,C,0.804,2
.309,3,3,0,DH,0.886,1
.400,0,1,0,C,0.8,0
.333,0,0,0,C,0.833,0
.313,4,8,0,LF,0.948,3
.211,0,2,1,DH,0.517,0
.275,5,3,5,SS,0.767,1
.282,2,4,2,OF,0.838,2
.333,0,1,0,SS,0.733,0
.284,1,15,4,2B,0.739,8
.375,0,0,0,3B,0.875,0
.500,0,0,0,3B,1.181,0
.270,5,8,0,2B,0.787,4
.143,0,0,0,C,0.548,0
.286,2,10,1,C,0.887,2
.295,7,3,5,SS,0.819,11
.141,0,0,3,C,0.389,1
.279,0,4,0,CF,0.72,2
.266,0,10,1,1B,0.766,2
.188,0,1,1,C,0.472,0
.293,0,15,4,1B,0.756,2
.340,0,3,0,C,0.97,0
.143,0,1,0,DH,0.714,0
.000,0,0,0,C,0.0,0
.332,3,2,0,CF,0.947,8
.240,4,10,3,SS,0.727,4
--,0,0,0,P,0.0,0
.233,3,6,1,OF,0.717,2
.251,1,10,1,3B,0.716,1
.600,0,0,0,1B,2.2,0
.302,1,3,0,C,0.871,1
.246,6,5,8,SS,0.662,4
.326,1,1,4,OF,0.87,3
.256,1,4,6,CF,0.631,2
.246,2,7,3,1B,0.75,1
.233,0,2,0,OF,0.661,3
.248,1,4,3,C,0.664,2
.259,2,3,0,3B,0.671,1
.280,0,0,0,1B,0.588,0
