RBI,OBP,3B,H,SB,G
8,.292,0,16,1,27
14,.340,1,47,12,67
1,.270,0,6,0,14
27,.367,0,41,5,50
16,.365,2,48,13,45
26,.382,0,53,2,58
6,.264,3,26,1,41
3,.324,2,25,11,48
13,.333,3,35,4,48
17,.368,2,31,11,55
17,.327,0,35,4,44
31,.336,5,55,5,64
19,.309,1,31,3,37
10,.358,0,29,1,32
22,.358,0,34,3,38
36,.346,1,50,2,64
14,.235,0,17,1,23
10,.353,3,38,2,45
10,.367,1,41,3,44
15,.271,2,44,12,58
20,.251,0,50,12,67
3,.333,1,19,9,43
3,.253,1,13,12,35
8,.292,0,20,5,37
14,.261,0,16,0,27
21,.318,2,38,9,54
16,.259,1,22,1,45
13,.330,1,41,34,59
7,.286,0,14,0,25
8,.316,0,14,0,26
14,.486,1,27,2,16
0,--,0,0,0,1
5,.252,0,9,2,33
33,.336,2,57,7,67
7,.284,0,28,3,39
10,.314,0,28,6,45
7,.367,0,21,5,31
21,.407,4,65,12,67
15,.218,0,22,2,45
13,.311,0,39,4,46
15,.288,1,47,2,57
17,.326,1,44,10,50
15,.286,1,22,0,36
14,.346,0,18,2,22
39,.373,2,61,15,69
15,.339,0,35,9,56
13,.347,0,18,0,42
18,.294,4,34,6,46
30,.378,1,53,6,64
14,.324,0,30,0,51
7,.400,0,10,1,14
38,.309,1,52,3,60
4,.310,1,13,4,42
16,.311,2,33,7,53
11,.301,0,14,0,29
19,.343,3,45,8,58
18,.287,3,46,22,67
14,.429,3,40,31,57
2,.353,0,8,0,19
45,.359,4,61,16,67
25,.357,2,45,1,64
3,.230,0,11,1,23
5,.333,0,18,1,32
4,.333,0,16,0,18
27,.403,10,62,31,63
38,.385,4,60,5,61
2,.156,0,4,0,12
12,.391,0,29,0,48
6,.239,1,8,1,35
10,.318,0,26,6,44
9,.355,1,19,6,26
15,.366,1,41,15,63
7,.333,0,13,1,33
4,.316,0,7,0,12
12,.335,0,38,14,58
16,.333,0,38,5,51
19,.359,0,28,4,54
9,.365,0,21,2,37
10,.348,0,28,2,45
5,.340,1,18,2,34
20,.319,0,37,1,51
18,.308,0,30,0,36
15,.339,3,37,7,58
14,.365,0,22,10,21
27,.411,2,42,11,52
22,.357,6,35,3,57
3,.400,0,8,1,8
4,.278,0,7,0,12
15,.383,1,35,14,57
8,.371,1,25,12,46
20,.345,0,38,2,52
8,.340,1,21,2,39
9,.527,1,21,0,13
16,.349,1,39,15,55
13,.346,2,26,0,42
17,.343,0,38,1,42
4,.200,1,12,0,40
5,.349,0,14,2,36
12,.284,1,27,0,40
33,.328,2,63,19,71
3,.330,0,12,3,33
3,.283,0,7,2,13
19,.299,1,31,5,43
21,.348,1,73,22,69
13,.329,3,35,7,50
31,.316,2,43,3,40
15,.386,3,37,15,39
14,.289,0,33,8,54
37,.365,5,65,14,67
16,.381,3,52,11,53
17,.371,2,37,9,36
42,.396,5,75,4,63
11,.324,0,27,3,50
13,.425,4,29,14,31
21,.380,1,31,20,60
10,.304,2,39,22,60
18,.369,2,38,8,53
10,.319,0,28,8,42
4,.215,0,14,2,30
6,.288,0,14,2,31
10,.463,1,22,2,20
12,.381,2,21,2,29
2,.245,0,7,2,30
24,.330,0,43,3,64
11,.346,2,50,16,59
