MP,USG%,GmSc,DRB%,STL%,Rk,BLK%,Opp,DRtg
30:00,18.7,16.5,27.4,3.3,56,0.0,ATL,101
17:00,21.5,11.4,20.7,11.3,69,0.0,IND,88
13:00,16.6,3.2,0.0,3.3,26,0.0,LAL,118
15:00,22.1,6.0,7.4,5.9,20,3.3,PHI,110
23:00,7.7,2.3,23.7,1.9,25,0.0,SAS,107
15:00,13.1,4.5,25.3,0.0,17,3.7,BOS,122
8:00,4.5,3.4,0.0,0.0,5,6.7,IND,110
9:00,8.1,3.7,0.0,5.0,27,0.0,SAC,117
15:00,13.0,2.8,6.8,0.0,24,7.2,WSB,113
19:00,20.1,6.8,36.1,2.5,68,2.9,MIL,121
24:00,18.4,8.4,11.2,0.0,10,2.1,WSB,109
21:00,5.9,9.3,26.4,0.0,61,7.8,NYK,85
21:00,14.9,6.0,16.3,0.0,31,2.7,CLE,115
18:00,8.8,3.9,18.2,0.0,33,0.0,CHI,108
28:00,13.4,10.4,26.4,3.3,21,4.1,NJN,101
7:00,11.2,1.9,39.2,0.0,29,0.0,NYK,112
22:00,17.9,9.1,16.8,1.9,11,2.3,MIL,119
16:00,20.3,13.8,9.0,0.0,49,0.0,PHI,120
14:00,7.7,2.8,34.3,3.1,30,4.0,NJN,103
30:00,21.9,17.8,36.4,0.0,19,1.7,WSB,120
