ab,hr,rbi,bb,po,Date
34,0,5,3,27,"May 21, 2011"
32,0,2,7,27,"Mar 26, 2011"
25,0,0,2,21,"Apr 30, 2011"
26,0,0,0,21,"Mar 26, 2011"
19,0,1,3,21,"Apr 02, 2011"
35,0,6,4,27,"Apr 08, 2011"
35,0,7,5,27,"Apr 29, 2011"
30,0,2,4,24,"May 13, 2011"
37,1,9,5,27,"May 20, 2011"
32,0,8,1,21,"Apr 17, 2011"
34,1,5,7,27,"Mar 15, 2011"
30,0,5,2,27,"May 14, 2011"
39,0,1,5,30,"Apr 02, 2011"
38,1,8,3,27,"May 22, 2011"
31,0,3,4,27,"May 10, 2011"
41,0,10,1,27,"May 12, 2011"
30,1,4,3,24,"Mar 12, 2011"
37,0,4,2,27,"Feb 25, 2011"
37,0,8,3,27,"Mar 05, 2011"
34,1,9,3,21,"Apr 21, 2011"
32,0,3,3,29,"Apr 19, 2011"
42,0,3,2,33,"May 08, 2011"
36,0,7,4,27,"Mar 27, 2011"
38,0,7,6,24,"Apr 10, 2011"
38,0,8,4,27,"Mar 13, 2011"
30,0,8,4,21,"May 13, 2011"
34,0,2,1,27,"May 01, 2011"
