dp,era,bb,3b,ibb,hr,h,Opponent,so
0,6.19,3,0,0,0,12,INDIANA,3
2,5.55,1,1,0,2,14,Florida,0
0,6.93,0,0,0,2,21,OHIO STATE,0
2,6.63,1,0,0,2,12,EASTERN MICHIGAN,3
0,6.28,1,0,0,1,7,NORTHWESTERN,3
0,6.78,2,0,0,3,16,Penn State,1
0,4.96,3,0,0,2,9,Illinois,1
0,7.19,1,1,0,0,9,Charleston Southern,7
0,4.67,2,0,0,1,8,Louisville,3
0,6.46,5,0,0,0,5,Wright State,7
0,6.71,4,0,0,0,13,Purdue,0
0,7.51,4,0,0,1,7,Loyola Marymount,7
0,6.33,4,0,0,1,14,NORTHWESTERN,3
0,6.54,2,0,0,0,11,BUTLER,4
2,4.52,1,1,0,1,12,UAB,2
0,6.44,2,0,1,2,10,Michigan,2
0,6.61,3,0,0,0,6,Penn State,5
0,7.47,7,0,0,2,11,Cal State Fullerton,2
0,7.47,6,0,0,5,11,UCLA,3
0,6.19,10,1,0,1,10,Oregon State,5
0,6.2,3,0,0,1,3,Nebraska,4
0,6.21,3,0,0,1,12,Tulsa,3
0,6.7,2,0,0,0,5,Central Michigan,5
0,5.76,2,0,0,0,10,Southern Miss,4
