eFG%,TOV%,USG%,Rk,ORB%,GS,DRtg,AST%,Age
 , ,0.0,29,0.0,0,115,0.0,25-297
.875,14.8,32.2,34,22.3,0,122,28.8,25-309
.667,0.0,10.0,15,4.4,1,105,17.1,25-263
.600,15.5,16.7,8,6.1,1,116,34.2,25-252
.000,0.0,17.0,1,47.3,0,107,0.0,25-215
 , ,0.0,55,0.0,0,121,0.0,26-001
.429,9.4,16.5,56,11.3,0,121,14.4,26-002
 , ,0.0,45,0.0,0,93,0.0,25-335
.000,0.0,14.7,47,0.0,0,119,0.0,25-340
.333,27.9,23.4,33,12.0,0,114,6.3,25-307
.000,0.0,14.1,54,0.0,0,128,41.0,25-357
.538,0.0,17.2,18,3.3,1,120,0.0,25-270
 ,100.0,21.7,52,0.0,0,133,0.0,25-351
.286,0.0,16.5,60,11.0,0,125,6.8,26-009
.333,40.0,21.1,38,10.9,0,122,0.0,25-319
 ,100.0,8.8,5,0.0,0,109,0.0,25-242
1.000,0.0,21.5,49,0.0,0,124,0.0,25-344
 , ,0.0,44,0.0,0,124,0.0,25-331
.200,28.6,17.9,23,0.0,0,125,0.0,25-280
.400,10.5,14.9,61,4.2,0,122,8.1,26-011
.889,18.2,12.4,19,0.0,1,123,15.3,25-274
.750,29.1,14.6,59,0.0,0,86,8.9,26-008
1.000,63.5,14.4,27,5.1,0,116,16.1,25-290
1.000,25.0,14.4,6,8.7,0,115,0.0,25-243
