MP,GmSc,G,Rk,USG%,Opp,TRB%,ORtg
28:00,6.8,46,46,13.1,VAN,23.6,87
17:00,5.3,39,39,19.7,GSW,25.1,68
21:00,4.2,40,40,15.1,DEN,24.2,87
19:00,1.3,71,71,9.4,CLE,25.3,56
18:00,3.2,70,70,5.0,SAS,10.7,142
21:00,2.3,68,68,6.5,DAL,11.3,98
25:00,5.7,65,65,11.7,DET,16.2,109
23:00,4.3,3,3,18.2,DAL,16.9,102
8:00,3.7,81,81,23.0,PHO,17.9,121
14:00,0.9,35,35,21.5,IND,19.3,68
16:00,2.4,56,56,16.4,BOS,25.0,82
23:00,7.6,43,43,16.3,SEA,8.6,124
19:00,7.3,15,15,17.2,ORL,11.0,129
20:00,6.0,31,31,23.2,GSW,20.0,103
24:00,0.5,52,52,13.0,SEA,15.8,64
21:00,8.7,67,67,11.3,WAS,27.7,127
17:00,-1.9,4,4,13.6,MIN,4.0,51
24:00,4.8,17,17,23.9,CHH,27.7,79
20:00,9.7,54,54,16.0,ATL,16.9,133
18:00,5.4,9,9,18.4,CHI,12.9,107
24:00,9.7,11,11,19.0,DEN,19.8,109
20:00,6.3,50,50,12.5,BOS,20.2,112
22:00,2.4,28,28,10.7,MIN,12.0,97
25:00,0.7,34,34,17.7,HOU,4.8,58
15:00,1.5,22,22,6.2,MIL,8.6,147
24:00,8.3,53,53,18.4,PHO,13.5,108
18:00,3.8,33,33,23.6,DEN,6.6,70
18:00,7.2,30,30,25.3,POR,19.4,117
14:00,0.5,41,41,10.0,SAS,4.2,102
19:00,2.4,62,62,21.2,GSW,23.5,73
24:00,8.0,19,19,15.5,VAN,11.4,99
21:00,3.9,79,79,10.6,MIN,2.8,140
23:00,6.1,57,57,14.3,WAS,17.0,110
20:00,1.8,80,80,6.9,LAC,25.6,70
16:00,2.2,38,38,19.4,PHO,12.2,57
27:00,5.7,66,66,18.3,POR,5.6,97
18:00,6.7,77,77,7.9,MIL,12.9,200
