FGA,#,APG,DRB,MPG,GP,TOV,SPG,RPG
14.1,5,2.6,3.8,33.4,9,2.0,0.9,4.3
5.9,87,0.9,1.5,18.4,8,1.2,1.0,2.5
14.1,3,1.5,2.5,25.9,8,2.2,0.8,2.9
5.1,79,3.0,1.9,26.6,8,1.4,0.8,2.4
5.9,94,0.9,1.5,15.9,8,1.4,0.5,1.8
10.8,27,1.1,3.1,28.9,8,1.9,0.6,4.0
10.3,24,5.9,2.0,31.6,9,3.1,3.1,2.9
7.8,34,2.2,3.0,23.8,6,2.2,1.5,4.2
8.7,40,1.2,4.0,31.4,9,1.6,1.0,5.7
9.3,42,3.9,2.4,27.4,9,2.6,2.1,2.6
4.1,66,1.6,2.4,24.8,8,1.4,1.0,3.0
8.2,48,1.0,2.5,22.6,8,1.0,1.0,3.1
6.3,45,0.3,1.7,20.8,6,1.0,0.3,3.7
13.6,4,1.3,4.9,32.0,9,2.9,0.8,8.4
3.0,55,0.0,3.0,10.0,1,1.0,0.0,4.0
6.2,88,0.2,2.1,18.0,9,1.4,0.3,3.2
4.0,73,0.3,2.2,22.0,9,1.3,1.0,3.6
7.7,51,0.3,4.3,24.9,9,1.2,0.9,5.0
5.8,89,1.1,1.7,24.1,9,1.8,1.8,2.2
8.8,67,5.2,1.8,28.8,4,2.2,1.5,2.2
6.3,31,2.2,2.9,27.8,9,2.9,1.8,3.7
10.0,14,0.5,4.2,25.2,6,2.0,1.0,6.2
7.4,37,1.6,2.9,21.9,9,2.2,0.9,3.0
13.5,16,1.0,2.0,23.0,2,1.0,1.0,3.0
5.7,54,1.2,3.6,21.7,9,2.1,0.6,6.0
9.3,8,0.4,3.3,32.4,9,2.9,1.8,7.8
10.6,20,1.1,3.2,28.4,8,1.2,1.0,4.6
7.6,35,0.8,3.3,27.4,9,1.7,0.6,4.7
6.1,91,0.2,1.8,15.8,8,0.6,1.0,2.9
4.0,71,0.7,1.3,16.7,3,0.7,0.7,1.7
4.4,82,0.4,2.9,23.8,9,1.4,0.7,3.9
13.2,1,1.7,3.7,35.4,9,2.7,2.3,4.8
2.8,96,0.5,1.3,23.8,6,1.7,0.2,1.7
4.2,83,1.2,0.8,19.2,6,1.0,0.8,1.7
10.3,32,1.8,2.1,27.3,9,1.4,1.1,2.9
5.6,61,2.0,2.1,22.3,7,1.3,1.7,2.9
8.4,60,1.4,4.3,26.3,9,1.4,0.4,6.0
6.3,77,0.7,3.8,24.3,6,1.0,1.0,5.0
9.4,9,0.6,7.2,28.0,9,1.9,1.2,11.4
9.9,12,2.0,5.0,36.0,9,2.2,2.4,7.0
7.7,36,0.9,4.1,26.1,9,2.1,1.2,5.0
6.4,74,0.6,1.6,16.7,9,1.6,0.2,2.6
7.6,13,1.4,7.0,32.1,9,2.4,0.9,11.6
4.6,85,0.4,2.7,22.6,9,1.7,1.3,6.0
3.9,81,0.2,2.0,15.2,9,0.4,0.4,3.8
6.4,92,0.9,2.8,17.9,8,2.5,0.6,4.4
10.6,23,0.9,4.1,25.1,8,1.8,0.5,6.2
6.8,84,1.0,1.7,23.0,9,1.7,1.3,2.7
10.9,25,0.6,5.8,28.4,8,2.4,1.0,8.4
8.9,19,0.6,4.4,28.8,9,1.8,0.4,7.8
8.4,57,1.7,2.3,23.0,9,2.8,2.2,2.9
8.8,50,1.1,1.4,25.9,8,2.0,0.5,1.9
5.1,99,0.0,3.2,27.0,9,1.7,0.9,4.6
8.2,41,1.6,3.0,29.7,9,0.8,0.6,4.0
6.4,38,3.4,1.9,26.8,8,2.4,1.1,2.5
9.2,63,0.9,3.2,27.0,9,1.2,1.8,4.3
7.4,53,0.5,2.4,17.5,8,0.9,0.4,3.6
