GIDP,BB,Player,POS,CS,SB
1,5,M Fontenot,SS,0,0
3,31,R Gotay,2B,0,1
8,18,A Hernandez,2B,4,3
6,28,D Garcia,2B,3,4
3,4,J Diaz,SS,0,0
1,12,D Gregorius,SS,2,0
1,25,B Davis,2B,0,6
6,22,T Thomas,2B,1,12
0,2,I De Jesus,2B,0,1
3,18,W Rhymes,2B,3,2
5,14,B Dozier,SS,2,3
0,0,J Castro,2B,0,0
0,3,Y Mujica,SS,1,1
4,6,H Rodriguez,2B,4,5
1,1,R Tejada,SS,0,0
2,35,J Johnson,SS,7,6
0,3,M Fisher,2B,0,1
2,5,R Ryal,2B,0,3
3,10,J Valdespin,2B,8,10
0,4,J Keppinger,2B,0,0
3,7,M Rojas,SS,0,0
2,9,B Holt,2B,2,5
7,5,R Raburn,2B,0,1
1,8,E Escobar,SS,1,3
0,2,R Dent,2B,0,0
7,53,C Joseph,2B,1,0
2,6,C Iorg,2B,2,2
3,34,B Friday,2B,6,10
9,27,R Olmedo,SS,3,9
0,0,C Utley,2B,0,0
1,18,B Conrad,2B,3,0
1,2,T Manzella,SS,0,0
8,32,T Nishioka,2B,7,7
2,4,J Wilson,SS,2,1
8,39,A Blanco,SS,5,6
8,71,C Phelps,2B,4,9
0,22,B Scales,2B,2,2
14,14,K Frandsen,SS,4,2
0,2,B Roberts,2B,0,0
3,23,W Harris,2B,3,4
5,14,O Quintanilla,SS,3,1
2,7,J Lopez,2B,0,0
3,37,C d'Arnaud,SS,5,34
15,34,J Wilson,SS,4,7
11,27,R Adams,2B,2,2
3,12,J Thurston,2B,0,1
4,34,R Pena,SS,3,1
2,6,Z Walters,SS,0,0
2,20,T Kuhn,2B,4,6
3,20,J Mercer,2B,5,3
3,22,K Negron,SS,3,17
1,1,S Kazmar,SS,0,0
1,2,M Mayorson,2B,0,0
2,0,J Turner,2B,0,0
4,23,P Orr,2B,2,16
14,29,G Petit,2B,2,1
0,0,C McConnell,SS,0,0
1,4,C Hernandez,2B,3,5
10,22,J Rodriguez,SS,5,3
