DRB%,AST%,ORtg,GmSc,ORB%,TOV%,eFG%,MP
14.0,0.0,103,2.6,29.2,0.0,.400,7:00
13.8,26.7,242,4.6,0.0,0.0,1.250,6:00
0.0,0.0,118,1.7,21.4,0.0,.500,7:00
0.0,0.0,200,1.7,0.0,0.0,1.000,1:00
23.5,40.0,200,1.7,0.0, , ,6:00
0.0,0.0,0,-1.1,0.0,0.0,.000,7:00
0.0,0.0,81,0.2,0.0,0.0,.000,11:00
0.0,0.0,40,-0.1,0.0,34.7,.000,3:00
6.7,0.0,96,2.9,7.1,0.0,.286,16:00
0.0,0.0,206,0.7,41.0, , ,3:00
0.0,0.0,0,-0.7,0.0,0.0,.000,2:00
0.0,0.0,78,-0.5,0.0,0.0,.333,12:00
0.0,24.4,128,1.3,0.0,0.0,.500,5:00
58.5,0.0,250,4.3,0.0,0.0,1.250,2:00
9.6,0.0,92,1.9,0.0,0.0,.400,10:00
0.0,0.0, ,0.0,0.0, , ,1:00
12.5,0.0,122,0.9,0.0,0.0, ,7:00
0.0,15.0,55,0.0,25.0,0.0,.000,8:00
0.0,0.0,0,-1.8,0.0,0.0,.000,5:00
0.0,0.0,200,1.7,0.0,0.0,1.000,5:00
10.3,11.4,128,2.0,0.0,0.0,.500,12:00
12.5,9.2,113,4.8,8.0,20.0,.625,15:00
0.0,0.0,78,0.3,0.0,34.7,.000,2:00
