SH,3B,SB,G,BB,Player,CS,HR
0,1,1,38,11,A De Leon,1,4
4,0,6,59,10,J Riddle,1,2
0,1,0,24,4,S Loopstok,1,0
0,5,1,51,7,A Pullin,3,3
2,4,7,51,20,R Garcia,5,5
0,0,0,43,13,I Tejeda,0,3
1,2,0,62,20,C Gunter,2,3
1,4,7,25,9,B Wiley,0,2
0,2,0,68,10,M Oberste,0,3
3,0,3,25,12,C Wolfe,1,0
0,1,0,35,19,S Carcaise,0,3
3,0,5,49,21,M Mercedes,6,0
0,0,1,68,27,L Pierce,1,5
0,0,9,28,5,L Ortiz,3,1
3,0,2,20,4,D Valesente,1,0
1,0,0,60,15,B Jones,1,2
2,1,2,45,8,J Azcona,0,3
0,0,1,32,14,C Taladay,0,1
0,0,2,37,6,J Murphy,2,1
0,0,2,17,4,A Avelino,0,0
2,4,13,67,19,C Valera,3,2
2,0,6,30,6,J Rosario,1,0
0,1,2,43,18,J Herrera,1,1
1,2,0,66,6,J Yezzo,1,2
2,1,4,52,27,C Asuaje,3,1
0,0,0,3,1,F Rosario,0,0
3,0,7,32,17,P Blair,1,1
0,2,3,70,22,L Mazzilli,0,4
0,2,14,63,17,J Breen,7,0
0,0,0,3,1,J Schoop,1,2
1,0,4,28,10,D Lopez,1,0
3,1,2,74,37,C Gregor,2,4
0,0,0,29,1,T Garrison,0,3
0,0,0,6,1,B Capellan,0,0
0,0,0,2,0,A Blanton,0,0
0,0,9,43,11,O Hernandez,1,6
5,4,12,65,16,C Moon,1,0
0,0,0,6,2,T Murphy,1,0
0,0,0,2,1,J Behar,0,0
0,2,13,52,11,C Powell,2,1
0,1,0,51,26,E Jagielo,0,6
0,0,1,12,2,T Martin,0,1
4,0,1,67,9,E Espinal,1,2
0,0,1,7,3,J Fernandez,0,0
1,0,0,32,2,A Chubb,1,0
6,1,6,37,7,C Rondon,1,1
0,1,5,58,25,A Frazier,8,0
0,1,2,56,21,M Katz,1,2
0,0,0,3,0,S Leon,0,0
0,1,1,42,16,M Foat,0,2
2,1,10,57,17,M Canelo,2,1
2,0,2,12,5,R Cordova,0,0
0,0,1,1,1,R Flores,0,0
2,1,1,70,20,C Kelly,0,4
0,0,2,24,7,H Crespo,0,0
0,0,4,14,4,R Gragnani,0,0
0,0,0,12,1,J Avila,0,0
1,0,0,2,0,G Smith,0,0
1,2,0,39,8,O Narvaez,2,0
1,0,1,21,2,A Ramirez,0,0
0,0,0,33,20,M Ford,0,3
0,0,1,31,11,D Bethea,0,1
0,0,0,3,2,S Othman,0,0
0,0,3,56,15,A Romero,4,2
0,0,0,3,0,J Carnahan,0,0
0,0,0,32,10,D Sopilka,0,0
0,3,4,68,14,B Harrison,5,5
3,0,1,35,19,R Gorton,1,1
0,0,3,17,1,A Landecker,1,0
0,0,0,24,4,A Green,1,1
2,2,5,64,17,D Collins,4,7
0,0,0,24,7,N Minnich,0,1
0,1,0,56,18,A Chavez,0,2
0,0,4,72,40,D Washington,2,10
0,0,0,5,2,S Clevenger,0,0
0,0,0,22,3,S Kalush,0,2
0,0,7,62,22,A Knapp,5,4
1,1,1,43,10,D McAlpine,2,2
0,0,0,22,5,F Castillo,0,1
0,0,0,10,3,B Wallace,1,0
4,0,2,32,12,J Gamboa,0,2
0,0,1,54,13,A Wynns,1,0
2,1,10,59,20,D Ficociello,3,3
0,2,3,15,3,J Jones,2,1
1,1,0,45,10,D Masters,0,0
1,1,2,33,12,F Castagnini,1,1
1,0,4,40,15,J Bohn,2,0
2,2,9,61,23,D George,0,0
0,0,1,8,5,W Mathisen,0,0
0,0,0,20,3,J Witte,0,0
