POS,SB,R,3B,AVG,OPS,G
P,0,0,0,--,0.0,1
RF,3,50,3,.291,0.753,100
3B,0,5,0,.159,0.499,39
P,0,1,0,.000,0.0,1
RF,1,48,1,.280,0.728,105
1B,5,27,0,.298,0.792,64
RF,0,2,0,.258,0.658,19
CF,18,53,4,.336,0.813,88
LF,8,71,4,.309,0.829,97
SS,6,52,0,.299,0.77,89
2B,0,2,0,.125,0.625,4
RF,12,24,2,.281,0.754,32
SS,5,60,0,.326,1.008,83
C,0,1,0,.111,0.495,4
1B,3,34,0,.361,0.926,71
3B,0,31,4,.300,0.746,77
CF,6,61,3,.296,0.857,76
1B,1,45,1,.301,0.861,77
RF,8,78,1,.334,0.917,103
RF,0,4,0,.250,0.615,18
CF,17,96,3,.344,1.13,107
LF,5,37,2,.268,0.655,91
2B,0,39,0,.298,0.806,69
CF,0,16,0,.259,0.783,39
SS,4,49,1,.290,0.711,100
P,0,0,0,--,0.0,1
LF,3,29,5,.273,0.679,70
2B,3,68,1,.288,0.741,103
2B,2,13,0,.284,0.639,27
SS,1,34,0,.260,0.676,72
C,0,1,0,.375,0.978,6
OF,8,40,1,.295,0.697,90
C,0,4,0,.171,0.422,20
C,1,38,0,.251,0.715,74
3B,1,16,0,.291,0.695,50
SS,2,15,0,.237,0.528,55
SS,1,3,0,.385,0.967,5
RF,0,22,0,.233,0.706,35
OF,2,7,0,.135,0.32,19
LF,0,0,0,.200,0.4,5
1B,0,19,0,.297,0.846,33
DH,0,36,1,.279,0.85,64
CF,1,4,0,.091,0.303,11
2B,2,45,3,.318,0.829,89
DH,1,8,0,.186,0.565,23
C,4,18,0,.263,0.682,60
2B,0,5,0,.288,0.621,28
SS,6,22,0,.327,0.754,59
LF,0,14,1,.228,0.654,55
OF,4,62,3,.311,0.707,99
3B,0,1,0,.133,0.361,20
DH,0,14,0,.273,0.685,49
2B,0,11,0,.247,0.645,62
3B,1,3,0,.156,0.433,20
1B,0,7,0,.154,0.529,50
1B,0,12,0,.213,0.55,17
LF,3,44,1,.282,0.872,99
C,1,26,1,.266,0.737,70
P,0,0,0,--,0.0,1
C,0,5,0,.196,0.49,43
2B,1,5,0,.258,0.636,24
LF,0,31,1,.264,0.732,82
2B,7,58,2,.289,0.84,106
C,3,22,1,.286,0.803,63
2B,3,41,0,.290,0.719,90
1B,0,1,0,.105,0.296,10
OF,7,87,3,.358,0.859,101
CF,0,6,0,.212,0.556,17
SS,0,6,0,.283,0.705,41
OF,8,37,1,.382,1.035,46
SS,1,25,1,.275,0.704,71
2B,40,92,4,.380,0.979,99
P,0,0,0,--,0.0,1
CF,12,57,6,.288,0.698,106
RF,0,8,0,.181,0.403,33
LF,3,4,0,.205,0.573,59
SS,0,2,0,.095,0.19,11
3B,0,20,0,.295,0.823,39
C,3,50,0,.312,0.84,95
RF,0,0,0,.167,0.333,7
1B,0,58,0,.349,1.032,104
C,0,7,0,.236,0.642,25
CF,7,37,2,.295,0.679,103
1B,2,59,3,.306,0.905,104
CF,3,33,0,.222,0.554,77
3B,2,20,1,.202,0.586,48
SS,2,27,2,.284,0.691,82
OF,0,1,0,.211,0.496,8
C,0,5,0,.360,1.054,22
SS,3,42,0,.307,0.746,90
P,0,0,0,--,0.0,1
SS,1,5,0,.273,0.577,15
3B,0,10,0,.300,0.804,21
C,0,20,0,.310,0.829,43
SS,2,41,1,.265,0.714,98
2B,6,51,5,.292,0.728,100
SS,0,1,0,.250,0.5,5
RF,0,34,2,.324,0.954,49
OF,2,20,0,.279,0.63,60
LF,6,26,1,.263,0.68,77
C,0,4,0,.179,0.435,35
C,0,5,0,.350,0.804,28
LF,2,76,2,.296,0.877,104
LF,3,52,3,.307,0.804,104
C,0,4,0,.159,0.405,40
C,1,1,0,.103,0.265,12
2B,2,35,0,.294,0.778,91
1B,5,44,0,.313,0.869,87
SS,9,32,1,.273,0.745,81
OF,1,12,0,.293,0.866,15
DH,31,68,3,.338,0.864,85
1B,0,39,1,.310,0.851,83
OF,1,15,1,.256,0.624,61
DH,0,65,1,.308,0.914,105
2B,2,20,0,.412,1.269,17
C,0,0,0,.071,0.21,7
LF,17,43,1,.260,0.669,77
SS,0,11,0,.297,0.731,24
3B,3,30,1,.316,0.918,49
C,3,54,0,.343,0.883,96
LF,1,21,0,.308,0.69,53
SS,5,33,1,.297,0.756,80
OF,3,33,2,.288,0.745,87
C,0,27,0,.270,0.653,97
1B,0,18,2,.218,0.673,65
LF,0,6,0,.226,0.687,8
3B,0,8,0,.250,0.65,15
RF,1,69,1,.290,0.795,93
SS,2,50,1,.235,0.604,97
OF,0,8,0,.276,0.771,14
C,0,6,1,.333,0.819,32
3B,4,28,1,.247,0.678,56
C,2,11,1,.169,0.516,39
CF,16,87,4,.345,1.043,103
CF,11,97,13,.354,0.909,103
OF,4,19,1,.305,0.724,29
C,0,17,0,.219,0.635,41
SS,3,8,1,.231,0.692,16
3B,2,18,0,.306,0.708,60
P,0,0,0,--,0.0,1
P,0,0,0,.000,0.0,1
C,0,0,0,.000,0.125,7
C,3,21,0,.327,0.807,48
P,0,0,0,--,0.0,1
1B,2,46,0,.337,0.932,84
RF,1,60,2,.339,0.938,103
C,5,60,1,.321,0.96,89
P,0,0,0,--,0.0,1
2B,0,19,1,.284,0.733,49
3B,10,88,4,.353,0.974,98
SS,4,19,0,.253,0.608,52
3B,1,29,0,.320,0.804,83
OF,6,16,1,.258,0.649,62
1B,6,72,2,.345,0.994,102
1B,0,3,0,.158,0.526,10
RF,3,21,0,.215,0.564,84
