Date,Opponent,Score,ab,r,h,2b,3b,hr,rbi,bb,k,sb,cs
Feb 1,at Newberry,"L, 3-2",0,0,0,-,-,-,0,-,-,-,-
Feb 1,at Newberry,"L, 8-2",3,0,0,-,-,-,0,-,-,-,-
Feb 2,at Newberry,"L, 9-3",-,-,-,-,-,-,-,-,-,-,-
Feb 8,at #32 Georgia College,"L, 18-1",2,0,0,-,-,-,0,-,-,-,-
Feb 8,at #32 Georgia College,"L, 7-0",-,-,-,-,-,-,-,-,-,-,-
Feb 9,at #32 Georgia College,"L, 6-5",-,-,-,-,-,-,-,-,-,-,-
Feb 15,at Francis Marion,"W, 7-4",0,0,0,-,-,-,0,-,-,-,-
Feb 15,at Francis Marion,"L, 12-10",-,-,-,-,-,-,-,-,-,-,-
Feb 16,at Francis Marion,"L, 5-2",2,0,1,-,-,-,0,-,-,-,-
Feb 19,Lincoln Memorial,"T, 6-6",-,-,-,-,-,-,-,-,-,-,-
Feb 20,Virginia Intermont,"L, 5-4",1,0,1,-,-,-,0,-,-,-,1
Feb 22,Notre Dame (Ohio),"W, 12-1",0,0,0,-,-,-,0,-,-,-,-
Feb 22,Notre Dame (Ohio),"W, 10-3",0,1,0,-,-,-,0,-,-,-,-
Feb 23,Notre Dame (Ohio),"L, 9-3",-,-,-,-,-,-,-,-,-,-,-
Feb 23,Notre Dame (Ohio),"L, 9-3",-,-,-,-,-,-,-,-,-,-,-
Feb 25,at Tusculum,"L, 16-3",1,0,0,-,-,-,0,-,-,-,-
Mar 1,Slippery Rock,"W, 7-3",-,-,-,-,-,-,-,-,-,-,-
Mar 1,Slippery Rock,"L, 7-4",-,-,-,-,-,-,-,-,-,-,-
Mar 2,Slippery Rock,"W, 9-8",0,0,0,-,-,-,0,-,-,-,-
Mar 4,at Mars Hill,"W, 14-1",1,0,1,-,-,-,1,-,-,-,-
Mar 7,Pfeiffer,"L, 9-3",-,-,-,-,-,-,-,-,-,-,-
Mar 8,Pfeiffer,"L, 3-1",0,0,0,-,-,-,0,-,-,-,-
Mar 8,Pfeiffer,"L, 7-6",4,0,0,-,-,-,0,-,1,-,-
Mar 10,Mars Hill,"W, 14-4",1,0,0,-,-,-,0,-,-,-,-
Mar 11,at UVa-Wise,"W, 14-9",1,0,0,-,-,-,0,-,1,-,-
Mar 14,at North Greenville,"W, 2-1",-,-,-,-,-,-,-,-,-,-,-
Mar 15,at North Greenville,"W, 12-3",-,-,-,-,-,-,-,-,-,-,-
Mar 15,at North Greenville,"W, 15-4",-,-,-,-,-,-,-,-,-,-,-
Mar 18,UVa-Wise,"L, 12-11",-,-,-,-,-,-,-,-,-,-,-
Mar 21,Belmont Abbey,"W, 11-6",0,0,0,-,-,-,0,-,-,1,-
Mar 22,Belmont Abbey,"L, 4-2",-,-,-,-,-,-,-,-,-,-,-
Mar 22,Belmont Abbey,"L, 12-2",1,0,0,-,-,-,0,-,-,-,-
Mar 26,Carson-Newman,"L, 7-1",2,0,1,1,-,-,0,1,1,1,1
Mar 30,Mount Olive,"L, 7-3",-,-,-,-,-,-,-,-,-,-,-
Mar 30,Mount Olive,"L, 11-2",0,0,0,-,-,-,0,1,-,-,-
Mar 31,Mount Olive,"L, 8-2",-,-,-,-,-,-,-,-,-,-,-
Apr 1,Lenoir-Rhyne,"L, 6-4",2,0,0,-,-,-,0,1,-,-,-
Apr 2,at Carson-Newman,"W, 15-5",4,0,1,-,-,-,2,1,1,-,-
Apr 4,at Erskine,"W, 6-5",-,-,-,-,-,-,-,-,-,-,-
Apr 5,at Erskine,"L, 7-5",0,0,0,-,-,-,0,-,-,-,-
Apr 5,at Erskine,"L, 14-6",-,-,-,-,-,-,-,-,-,-,-
Apr 8,at Lenoir-Rhyne,"L, 9-3",-,-,-,-,-,-,-,-,-,-,-
Apr 11,Limestone,"W, 6-3",-,-,-,-,-,-,-,-,-,-,-
Apr 12,Limestone,"W, 14-5",1,0,0,-,-,-,0,-,-,-,-
Apr 12,Limestone,"W, 4-3",0,0,0,-,-,-,0,-,-,-,1
Apr 16,Tusculum,"W, 12-7",5,2,3,-,1,-,0,-,-,-,1
Apr 18,Barton,"W, 6-5",0,0,0,-,-,-,0,-,-,-,-
Apr 18,Barton,"W, 5-1",-,-,-,-,-,-,-,-,-,-,-
Apr 19,Barton,"W, 7-5",3,0,0,-,-,-,1,-,-,-,-
Apr 24,vs. No. 3 Pfeiffer,"W, 6-5",0,1,0,-,-,-,0,-,-,-,-
Apr 26,vs. No. 2 Erskine,"W, 10-6",-,-,-,-,-,-,-,-,-,-,-
Apr 26,vs. No. 1 Mount Olive,"L, 6-4",0,0,0,-,-,-,0,-,-,-,-
Apr 27,vs. No. 6 Barton,"W, 7-3",-,-,-,-,-,-,-,-,-,-,-
Apr 27,vs. No. 1 Mount Olive,"L, 10-9",0,0,0,-,-,-,0,-,-,-,-
