BLK%,eFG%,DRB%,AST%,STL%,Rk,Tm,DRtg,TOV%
0.0,1.000,15.3,0.0,6.8,49,CHI,104,0.0
0.0,.500,51.0,0.0,0.0,50,CHI,103,0.0
0.0,.500,27.1,0.0,0.0,30,CHI,85,11.4
0.0,.750,28.7,14.1,0.0,16,CHI,104,25.8
5.1,.375,43.3,17.7,0.0,44,CHI,110,9.7
0.0,.750,33.8,0.0,0.0,33,CHI,108,0.0
0.0,.385,50.6,8.5,0.0,61,CHI,96,10.5
0.0,.000,11.7,0.0,0.0,46,CHI,107,0.0
0.0,.667,28.8,27.2,0.0,12,CHI,88,20.5
12.7, ,14.7,0.0,0.0,39,CHI,109,0.0
0.0,.667,15.0,0.0,0.0,35,CHI,101,25.0
0.0,1.000,0.0,19.6,5.3,29,CHI,93,23.1
0.0,.286,0.0,8.1,0.0,37,CHI,128,11.3
0.0,.667,16.7,0.0,4.0,22,CHI,102,22.5
0.0,.000,18.9,21.8,0.0,28,CHI,96,66.7
0.0, ,0.0,0.0,0.0,36,CHI,122,100.0
3.9,.545,10.0,20.3,1.7,13,CHI,109,7.3
0.0,.333,44.6,12.5,4.5,38,CHI,97,25.0
