Sr. No,Name,Age,Team,Mats,Balls,Mdns,Runs,Wkts,BB,Ave,4wl,5wl,S. Rate,Econ
1,Saqlain Mushtaq,39 years,Pakistan,1,258.0,4.0,204.0,1.0,1-204,204.00,0,0,258.00,4.74
2,Fazl-e-Akbar,35 years,Pakistan,1,244.0,3.0,162.0,1.0,1-162,162.00,0,0,244.00,3.98
3,Ajit Agarkar,38 years,India,1,138.0,5.0,80.0,1.0,1-80,80.00,0,0,138.00,3.48
4,Zaheer Khan,37 years,India,1,138.0,6.0,76.0,1.0,1-76,76.00,0,0,138.00,3.3
5,Mohammad Sami,34 years,Pakistan,3,738.0,22.0,435.0,7.0,2-92,62.14,0,0,105.43,3.54
6,Shoaib Akhtar,40 years,Pakistan,3,518.0,16.0,297.0,7.0,3-47,42.43,0,0,74.00,3.44
7,Danish Kaneria,35 years,Pakistan,2,491.0,7.0,248.0,7.0,3-14,35.43,0,0,70.14,3.03
8,Irfan Pathan,31 years,India,3,804.0,44.0,342.0,12.0,4-100,28.50,1,0,67.00,2.55
9,Yuvraj Singh,34 years,India,3,54.0,1.0,32.0,1.0,1-25,32.00,0,0,54.00,3.56
10,Ashish Nehra,36 years,India,1,162.0,6.0,80.0,3.0,2-60,26.67,0,0,54.00,2.96
11,Lakshmipathy Balaji,34 years,India,3,636.0,24.0,369.0,12.0,4-63,30.75,1,0,53.00,3.48
12,Anil Kumble,45 years,India,3,783.0,31.0,389.0,15.0,6-72,25.93,1,1,52.20,2.98
13,Sachin Tendulkar,42 years,India,3,198.0,4.0,98.0,4.0,2-36,24.50,0,0,49.50,2.97
14,Imran Farhat,33 years,Pakistan,3,115.0,1.0,100.0,3.0,2-69,33.33,0,0,38.33,5.22
15,Umar Gul,31 years,Pakistan,1,150.0,3.0,96.0,6.0,5-31,16.00,0,1,25.00,3.84
16,Parthiv Patel,30 years, ,3, , , , , ,--,0,0,--, 
17,Abdul Razzaq,36 years,Pakistan,1,90.0,3.0,61.0,0.0,0-61,--,0,0,--,4.07
18,Moin Khan,44 years, ,1, , , , , ,--,0,0,--, 
19,Sourav Ganguly,43 years,India,1,36.0,0.0,27.0,0.0,0-9,--,0,0,--,4.5
20,Rahul Dravid,43 years, ,3, , , , , ,--,0,0,--, 
