ORB,PF,PPG,BPG,3PM,APG,FGM,#,Player,RPG
0.5,2.4,4.9,0.0,0.7,2.8,1.6,49,Nick Vier,1.8
1.2,2.3,6.9,0.8,0.5,0.7,2.6,37,Colin McIntosh,3.4
1.6,2.7,12.6,0.6,1.8,2.6,3.7,15,Mike Christensen,6.1
1.2,2.3,16.2,0.1,3.0,2.6,5.6,5,Joe Zeglinski,4.0
1.4,2.6,9.6,0.3,2.1,1.6,3.4,29,Brent Wilson,5.8
3.8,2.8,19.0,2.7,0.0,2.3,6.8,1,Marqus Blakely,11.0
2.6,2.8,15.1,0.3,0.0,1.5,5.9,7,Darryl Proctor,8.4
2.8,1.8,6.9,0.2,0.1,0.4,3.0,36,Demetrius Young,6.6
1.2,2.1,12.7,0.1,2.1,1.8,4.2,14,Alvin Abreu,3.8
1.3,2.0,4.7,0.3,0.1,0.3,1.8,50,Rony Tchatchoua,3.1
1.0,2.6,6.2,0.1,0.8,0.7,1.9,41,Nick Carter,1.8
1.2,2.3,3.9,0.5,0.1,0.8,1.4,53,Justin Fry,2.6
1.7,2.6,10.1,0.1,0.1,1.0,4.0,25,Brian Connelly,5.3
0.5,2.1,8.8,0.1,1.9,7.2,2.7,34,Jay Greene,2.5
1.5,3.2,16.1,0.7,0.3,3.5,5.9,6,Brian Lillis,6.0
0.6,1.9,2.7,0.1,0.0,2.5,1.1,55,Eddie Castellanos,1.8
2.0,3.3,10.0,1.1,0.0,1.1,3.2,26,Scott Brittain,6.3
0.8,2.6,17.9,0.2,2.0,4.5,6.0,3,Mike Trimboli,3.7
1.4,1.7,5.0,0.0,0.2,1.0,1.7,47,Jerel Hastings,3.3
0.3,1.3,6.8,0.0,1.2,0.5,2.1,38,Michael Tyree,1.2
0.9,2.3,4.5,0.0,0.4,0.6,1.5,51,Chretien Lukusa,2.0
0.5,1.5,4.9,0.1,0.3,1.0,1.7,48,Chris Martin,1.5
2.3,2.2,6.6,1.3,0.0,1.1,2.7,39,Reggie Fuller,5.8
2.3,3.3,4.2,0.4,0.0,0.4,1.7,52,Dane DiLiegro,6.3
0.5,1.1,9.2,0.0,1.9,2.0,2.6,30,Jon Iati,2.0
2.3,2.5,12.8,2.2,0.2,1.0,5.2,13,Cavell Johnson,6.5
1.5,2.6,14.4,0.6,2.9,3.1,5.0,9,Tyrece Gibbs,4.5
0.8,3.2,6.1,0.4,0.7,0.9,2.2,42,Philippe Tchekane Bofia,3.3
0.8,2.5,10.2,0.1,1.1,2.8,2.8,23,Eric Gilchrese,2.5
1.8,2.5,14.2,0.1,1.9,1.3,4.7,10,Ricky Lucas,4.8
0.7,2.6,10.6,0.0,1.9,2.2,3.8,22,Kyle Cieplicki,3.4
