Date,Opponent,Score,fg,pct,3pt,ft,off,def,reb,ast,to,stl,blk,pf,pts
Nov 15,at Beloit,"L, 63-55",23-63,80.0,1-9,8-10,9,25,34,13,12,5,2,22,55
Nov 22,UW-River Falls,"L, 61-60",23-54,73.3,3-7,11-15,7,17,24,11,12,7,0,11,60
Nov 26,Edgewood,"W, 61-52",20-51,66.7,1-8,20-30,13,18,31,8,17,9,1,15,61
Nov 30,at Marian,"W, 56-52",20-60,78.9,1-8,15-19,13,24,37,13,10,6,5,9,56
Dec 3,at Benedictine,"W, 60-42",16-41,70.4,9-17,19-27,7,24,31,13,21,6,0,17,60
Dec 6,at Alverno,"W, 64-50",25-59,56.3,5-12,9-16,10,26,36,19,9,8,4,15,64
Dec 8,Lakeland,"L, 53-51",16-53,87.5,5-14,14-16,10,25,35,10,14,6,3,10,51
Dec 10,Aurora,"W, 84-50",31-56,81.0,5-14,17-21,9,33,42,21,14,4,1,13,84
Dec 19,Concordia Chicago,"W, 77-58",23-57,88.5,8-16,23-26,12,31,43,17,14,2,0,20,77
Dec 21,Marian,"W, 75-68",26-51,56.8,2-7,21-37,11,22,33,15,15,7,2,22,75
Dec 27,vs. Eureka,"L, 63-52",18-69,76.5,3-16,13-17,17,25,42,7,16,12,2,14,52
Dec 28,vs. Amherst,"L, 67-37",9-45,69.2,1-8,18-26,9,25,34,3,24,3,0,17,37
Jan 7,at Dominican,"W, 79-58",31-72,72.2,4-11,13-18,24,34,58,16,15,3,7,18,79
Jan 10,at Wisconsin Lutheran,"L, 70-60",23-57,64.7,3-13,11-17,13,23,36,11,19,5,2,18,60
Jan 14,MSOE,"W, 69-57",21-47,82.8,3-9,24-29,4,18,22,10,11,11,1,13,69
Jan 19,Maranatha Baptist,"W, 71-55",26-59,72.2,6-10,13-18,11,22,33,16,11,9,1,17,71
Jan 21,at Rockford,"W, 56-50",19-53,71.4,3-12,15-21,12,29,41,11,11,4,0,13,56
Jan 24,at Edgewood,"W, 62-55",21-66,66.7,2-10,18-27,15,27,42,9,12,14,4,14,62
Jan 27,vs. Concordia Nebraska,"L, 98-58",19-49,53.1,3-11,17-32,6,18,24,9,13,5,1,21,58
Jan 28,at Concordia Chicago,"W, 72-42",25-56,84.2,6-14,16-19,10,28,38,15,15,7,1,13,72
Feb 1,Alverno,"W, 79-62",28-53,85.0,6-14,17-20,6,31,37,17,11,5,3,18,79
Feb 7,at Lakeland,"L, 54-50",21-65,85.7,2-16,6-7,17,22,39,15,14,9,0,14,50
Feb 9,Wisconsin Lutheran,"L, 64-58",22-55,81.8,5-13,9-11,9,33,42,12,18,7,1,18,58
Feb 11,at Maranatha Baptist,"L, 54-53",18-56,75.0,2-10,15-20,13,24,37,11,15,9,0,10,53
Feb 18,at Concordia Chicago,"W, 54-43",19-45,62.5,1-10,15-24,12,26,38,10,19,4,0,8,54
Feb 22,at Lakeland,"W, 56-44",19-51,77.8,4-10,14-18,16,32,48,10,18,5,0,9,56
Feb 24,at Wisconsin Lutheran,"L, 61-55",16-50,85.7,5-14,18-21,6,21,27,8,15,4,1,17,55
