MP,Opp,Age,ORB%,TOV%,USG%,TRB%
24:00,MIA,22-322,0.0,27.6,19.9,4.5
13:00,ATL,22-271,0.0,0.0,10.5,0.0
9:00,NYK,22-232,0.0,0.0,15.7,6.8
6:00,SAS,22-277,0.0,0.0,7.5,0.0
4:00,WSB,22-208,0.0,0.0,22.6,0.0
15:00,LAC,22-200,0.0,0.0,16.7,10.1
13:00,ATL,22-166,6.7,0.0,21.9,6.8
14:00,HOU,22-194,0.0,0.0,9.1,7.9
6:00,SAC,22-258,0.0,25.8,28.2,16.7
15:00,CHI,22-154,8.9,0.0,13.8,11.0
11:00,NJN,22-155,11.5,33.3,11.8,11.1
25:00,CLE,22-324,3.6,20.2,22.7,4.0
18:00,LAC,22-261,7.2,0.0,25.8,10.4
17:00,SAC,22-173,0.0,16.7,14.4,3.1
1:00,DEN,22-189,0.0, ,0.0,0.0
8:00,CHI,22-310,0.0,0.0,11.7,0.0
10:00,HOU,22-281,9.4,37.5,33.2,8.7
6:00,CLE,22-175,0.0,50.0,30.5,0.0
14:00,GSW,22-231,0.0,7.5,38.3,4.5
7:00,BOS,22-238,0.0,0.0,25.1,0.0
5:00,UTA,22-217,0.0,0.0,9.9,12.6
11:00,LAL,22-212,0.0,0.0,23.4,5.7
13:00,NYK,22-313,0.0,50.0,13.9,4.6
4:00,UTA,22-275,31.6,0.0,38.2,15.2
6:00,MIL,22-224,22.2,0.0,13.8,21.9
13:00,CLE,22-162,0.0,0.0,16.7,0.0
13:00,WSB,22-315,0.0,20.0,17.4,4.3
1:00,POR,22-256,0.0,0.0,40.1,0.0
3:00,NYK,22-285,0.0,0.0,16.1,0.0
33:00,NJN,22-225,0.0,8.4,16.6,0.0
14:00,SEA,22-263,7.1,0.0,18.9,7.9
8:00,NJN,22-267,0.0,0.0,14.2,0.0
12:00,MIA,22-266,0.0,0.0,27.8,0.0
13:00,MIL,22-305,0.0,14.8,23.1,5.3
5:00,DAL,22-278,0.0,100.0,19.6,11.3
3:00,NJN,22-179,0.0,0.0,27.8,0.0
8:00,DET,22-292,15.4,0.0,21.7,7.6
