AB,PPF,oppSLG,oppOBP,oppTAv,GS,oppRPA+
452,100,0.406,0.322,0.269,15,108
486,93,0.411,0.322,0.271,22,110
289,96,0.396,0.318,0.26,0,100
405,99,0.398,0.318,0.263,18,103
366,93,0.415,0.325,0.274,14,112
439,103,0.392,0.314,0.259,19,99
762,99,0.405,0.319,0.268,33,107
720,99,0.386,0.308,0.252,31,93
810,101,0.404,0.317,0.267,33,106
769,101,0.385,0.307,0.252,33,93
731,94,0.404,0.318,0.266,30,105
603,97,0.385,0.309,0.255,30,96
424,98,0.388,0.309,0.254,20,95
627,112,0.389,0.312,0.257,31,97
431,95,0.398,0.313,0.26,19,100
376,101,0.398,0.315,0.263,16,103
805,104,0.377,0.306,0.25,32,91
292,114,0.392,0.312,0.257,0,98
822,105,0.394,0.312,0.257,33,97
551,96,0.402,0.316,0.264,27,103
764,94,0.407,0.321,0.268,31,107
682,101,0.393,0.313,0.261,29,101
380,95,0.387,0.314,0.257,17,97
432,97,0.391,0.315,0.258,20,98
564,99,0.398,0.319,0.263,24,102
619,97,0.388,0.315,0.26,29,100
721,100,0.409,0.317,0.267,30,106
611,95,0.395,0.315,0.258,28,98
364,102,0.392,0.314,0.263,18,103
599,98,0.399,0.314,0.258,26,98
773,102,0.395,0.309,0.257,32,97
587,96,0.397,0.313,0.263,24,103
478,103,0.389,0.313,0.256,21,97
748,101,0.399,0.317,0.265,32,105
283,101,0.398,0.316,0.265,0,104
676,95,0.408,0.321,0.268,31,107
574,100,0.404,0.32,0.266,26,106
631,113,0.377,0.306,0.25,30,91
547,104,0.378,0.31,0.252,25,93
544,102,0.413,0.324,0.271,20,109
546,99,0.407,0.321,0.269,22,108
732,103,0.38,0.306,0.252,32,93
766,100,0.399,0.315,0.263,32,103
762,100,0.38,0.306,0.251,32,92
527,94,0.417,0.325,0.272,22,111
703,97,0.404,0.319,0.266,29,105
545,98,0.401,0.32,0.266,23,105
832,105,0.394,0.314,0.258,31,99
534,99,0.404,0.323,0.269,20,108
402,98,0.392,0.316,0.257,18,97
293,102,0.407,0.318,0.266,14,105
533,101,0.405,0.322,0.268,24,107
742,115,0.379,0.309,0.253,31,94
584,93,0.404,0.321,0.266,24,106
613,100,0.405,0.32,0.268,29,107
425,114,0.39,0.313,0.258,20,98
814,101,0.393,0.316,0.262,32,102
703,100,0.382,0.306,0.252,30,93
586,97,0.408,0.321,0.268,24,107
282,102,0.398,0.318,0.26,0,100
299,100,0.405,0.322,0.269,2,108
300,112,0.383,0.316,0.256,0,96
708,107,0.385,0.31,0.254,32,95
521,97,0.396,0.317,0.264,24,103
665,97,0.406,0.316,0.267,25,106
328,100,0.4,0.317,0.265,13,104
723,98,0.382,0.309,0.253,30,94
620,99,0.414,0.322,0.272,22,111
734,102,0.387,0.307,0.253,31,94
303,98,0.392,0.315,0.261,13,101
577,99,0.396,0.313,0.256,27,96
523,99,0.397,0.318,0.265,23,104
647,100,0.389,0.309,0.253,26,94
