Name,Age,G,PA,Rbat,Rbaser,Rdp,Rfield,Rpos,RAA,WAA,Rrep,RAR,WAR,waaWL%,162WL%,oWAR,dWAR,oRAR,Pos Summary
Al Atkinson,26,16,64,-4,-0,0,0,4,-0,0.0,0,-0,0.0,.499,.500,-0.0,0.0,-0,1/O
Lou Bierbauer*,21,126,543,-23,1,0,3,2,-16,-1.1,12,-4,0.1,.490,.492,-0.2,0.6,-7,*4/1
Tommy Casey?,--,1,0,0,0,0,0,0,0,0.0,0,0,0.0,.500,.500,0.0,0.0,0,/1
Frank Chapman,25,1,2,-1,0,0,0,0,-0,-0.0,0,-0,-0.0,.463,.500,-0.0,0.0,-0,/1
Ed Flanagan?,25,19,84,-3,-0,0,-1,-0,-5,-0.3,2,-3,-0.2,.481,.498,-0.1,-0.1,-2,3
Ed Greer,23,3,11,-2,0,0,0,-0,-2,-0.1,0,-2,-0.1,.455,.499,-0.1,-0.0,-1,/O
Bill Hart?,21,3,13,-3,-0,0,0,1,-2,-0.2,0,-2,-0.2,.442,.499,-0.2,0.0,-2,/1
Henry Larkin,27,126,553,18,-2,0,0,-6,10,0.9,12,22,2.2,.506,.505,2.1,-0.3,22,*O34
Denny Lyons,21,137,623,52,2,0,-11,4,48,3.7,13,61,5.1,.526,.522,5.8,-0.4,72,*5
Fred Mann*,29,55,250,0,-0,0,-2,-3,-5,-0.3,5,0,0.2,.493,.498,0.3,-0.3,2,O
Bobby Mathews,35,7,29,-2,-0,0,0,2,0,0.0,0,0,0.0,.503,.500,0.0,0.0,0,/1
Chippy McGarr,24,137,561,-7,3,0,-2,9,3,0.4,12,15,1.6,.502,.502,1.7,0.7,17,*6
Jocko Milligan,25,95,401,4,-3,0,1,3,6,0.5,9,14,1.4,.504,.503,1.2,0.4,13,32/O
Tom Poorman*,29,135,630,-8,3,0,8,-8,-5,-0.2,13,8,1.1,.497,.498,0.4,0.1,0,*O/41
Wilbert Robinson,23,68,279,-19,-1,0,-8,4,-24,-1.8,6,-18,-1.2,.473,.489,-0.6,-0.2,-10,2/3O
Chief Roseman,30,21,88,-1,-1,0,-2,-1,-5,-0.4,2,-3,-0.2,.481,.498,-0.1,-0.2,-1,O
Jim Roxburgh,29,2,8,-2,-0,0,-2,0,-3,-0.3,0,-3,-0.2,.372,.498,-0.1,-0.1,-1,/24
Ed Seward?,20,74,284,-24,-0,0,0,19,-5,-0.3,0,-5,-0.3,.495,.498,-0.3,-0.0,-5,1O
Harry Stovey,30,124,560,15,3,0,9,-5,21,1.8,12,33,3.0,.513,.510,2.2,0.4,24,O3
Billy Taylor,32,1,4,-0,0,0,0,0,-0,-0.0,0,-0,-0.0,.495,.500,-0.0,0.0,-0,/1
Cannonball Titcomb*,20,3,12,-2,-0,0,0,1,-1,-0.1,0,-1,-0.1,.463,.499,-0.1,0.0,-1,/1
George Townsend,20,31,112,-13,0,0,-4,2,-15,-1.1,2,-13,-0.9,.462,.493,-0.6,-0.2,-9,2/O
Gus Weyhing,20,57,215,-23,-1,0,-2,15,-11,-0.8,0,-11,-0.8,.486,.495,-0.7,-0.1,-9,1/O
Team Total,24.9,1242,5326,-47,4,0,-13,45,-11,0.2,100,89,10.5,.499,.502,10.5,0.3,102, 
